Name,Month,Year,Sale Amount
Sam,July,2010,3497
Jerry,March,2019,7107
Curtis,September,2018,523
Allen,July,2004,2212
Roland,February,2007,5818
Roland,May,2018,7765
Leslie,October,2009,3947
Curtis,August,2016,4993
Allen,February,2009,4228
Bobby,April,2016,1590
Bobby,September,2017,837
Charlie,May,2011,5301
Hugh,March,2001,5748
Douglas,September,2019,3159
Wilbur,August,2009,1374
Gilbert,March,2004,4273
Cecil,March,2008,6673
Curtis,March,2003,7225
Rudolph,July,2016,6874
Arnold,April,2019,5709
Edgar,February,2016,223
Douglas,May,2006,4907
Manuel,February,2010,5119
Martin,April,2020,798
Roland,January,2012,4597
Claude,July,2013,6639
Jose,January,2008,4560
Lee,October,2010,6969
Bruce,October,2018,5413
Willard,March,2016,7616
Virgil,May,2014,1750
Lee,June,2007,4718
Allen,March,2001,7225
Sam,February,2016,1643
Sam,July,2009,650
Gilbert,February,2016,644
Glen,March,2005,6185
Edgar,August,2014,7588
Chester,May,2008,4100
Lee,May,2020,190
Douglas,May,2007,6979
Leslie,September,2002,1854
Milton,March,2012,5906
Rudolph,November,2001,1528
Homer,November,2006,7579
Willard,July,2008,1436
Everett,March,2016,5530
Junior,April,2004,3813
Gilbert,November,2012,929
Jesse,March,2019,4532
Lewis,January,2008,1199
Homer,August,2001,7035
Everett,November,2005,3866
Jose,February,2003,3011
Jerome,August,2004,3250
Chester,January,2012,2114
Roland,September,2017,4325
Douglas,July,2017,6937
Junior,May,2013,5039
Rudolph,August,2017,6510
Jose,April,2001,2534
Allen,August,2013,2979
Ronald,January,2014,7511
Oscar,September,2004,7707
Rudolph,June,2003,155
Johnnie,August,2001,3745
Maurice,January,2018,7503
Chester,April,2008,4793
Roger,May,2003,455
Harvey,April,2008,5026
Sam,June,2000,421
Claude,April,2018,1119
Virgil,July,2014,7345
Hugh,June,2010,2574
Johnnie,March,2012,4669
Junior,March,2005,396
Rudolph,May,2011,4402
Leslie,August,2004,1582
Jesse,June,2013,863
Roland,April,2010,2217
Jerome,March,2015,5511
Harvey,September,2010,1818
Jessie,April,2011,4238
Arnold,January,2018,7635
Jerry,July,2019,2094
Eddie,July,2008,5160
Benjamin,July,2013,6671
Benjamin,June,2009,7113
Edgar,August,2016,305
Don,August,2007,3975
Chester,May,2017,4536
Maurice,January,2018,6165
Gilbert,June,2014,1967
Glen,January,2004,6028
Bob,July,2002,4777
Maurice,April,2011,2912
Claude,July,2019,3582
Hugh,June,2016,4701
Milton,July,2019,871
Curtis,August,2009,1683
Lewis,September,2005,3840
Ronald,March,2020,5313
Leslie,February,2008,4480
Allen,June,2008,4536
Rudolph,May,2013,3356
Gene,January,2014,2020
Virgil,June,2009,628
Junior,February,2001,4924
Douglas,May,2000,6515
Bruce,May,2001,5904
Lee,October,2018,4124
Don,September,2005,6747
Gene,January,2020,2070
Charlie,March,2014,5785
Jose,June,2017,5641
Lewis,November,2003,2638
Milton,September,2016,4555
Charlie,February,2009,2512
Dale,April,2015,2302
Junior,June,2007,4565
Douglas,February,2008,1330
Bruce,July,2002,4099
Ronald,September,2010,249
Curtis,March,2020,3488
Willard,November,2013,3007
Roger,May,2008,7219
Homer,October,2014,2357
Jessie,March,2018,7334
Cecil,June,2008,3867
Allen,November,2007,2127
Martin,May,2013,6128
Cecil,July,2006,2168
Willard,October,2007,7998
Jesse,August,2005,4772
Milton,May,2016,5880
Hugh,April,2005,1091
Glen,June,2015,2882
Maurice,September,2017,5143
Lee,April,2006,2183
Ronald,May,2008,6494
Victor,February,2007,3167
Benjamin,June,2017,5460
Wallace,May,2013,6549
Maurice,September,2009,2417
Douglas,October,2005,7776
Johnnie,February,2015,7219
Dale,November,2020,5149
Jessie,May,2001,1598
Junior,November,2000,2096
Bob,May,2002,3244
Claude,August,2019,6747
Benjamin,February,2016,5131
Jerome,May,2018,5576
Jerry,June,2012,1708
Wilbur,March,2017,7349
Martin,January,2013,5998
Bob,January,2012,3746
Marion,March,2009,3002
Don,September,2017,4351
Martin,August,2009,3700
Curtis,May,2016,4556
Marion,February,2006,5613
Edgar,June,2008,3709
Arnold,June,2012,5111
Virgil,May,2000,6404
Don,January,2009,7570
Don,July,2003,1796
Charlie,June,2005,1489
Oscar,March,2020,4303
Wilbur,June,2010,434
Chester,January,2010,7149
Jerome,September,2014,5823
Gene,January,2011,2858
Willard,September,2015,725
Jose,September,2008,2867
Jessie,May,2009,4845
Ronald,October,2016,3067
Marion,June,2018,2924
Lewis,November,2008,1893
Rudolph,May,2013,2160
Don,November,2005,5673
Jesse,April,2019,4111
Bobby,September,2002,3855
Wallace,November,2019,1806
Junior,April,2018,2156
Jerry,June,2007,4505
Dale,April,2012,5152
Leslie,March,2012,2125
Milton,May,2002,2589
Dale,September,2003,215
Johnnie,January,2014,7846
Junior,August,2013,547
Roland,January,2008,5308
Junior,April,2002,4061
Allen,May,2018,7503
Manuel,March,2015,877
Marion,January,2019,1264
Roland,May,2018,2560
Edgar,January,2016,465
Harvey,October,2014,7866
Leslie,July,2003,226
Lewis,October,2016,5290
Bruce,July,2011,3440
Bobby,November,2004,5028
Oscar,October,2019,7509
Milton,April,2016,1988
Everett,April,2005,4829
Glen,March,2018,4519
Oscar,September,2005,6893
Jose,June,2020,6911
Lewis,October,2004,3921
Edgar,November,2019,4715
Jerome,November,2006,1888
Edgar,January,2005,4541
Willard,November,2005,7667
Jimmie,April,2018,1949
Martin,May,2006,3801
Marion,September,2001,6415
Eddie,September,2005,7294
Dale,January,2008,7523
Sam,June,2016,6968
Curtis,May,2003,1279
Manuel,April,2019,2973
Curtis,February,2005,6613
Victor,November,2006,2422
Sam,June,2001,5981
Chester,October,2019,5246
Sam,August,2011,2534
Gene,June,2016,5832
Willard,April,2018,2217
Hugh,January,2009,6953
Roland,March,2020,1233
Homer,November,2014,3518
Edgar,August,2008,2328
Harvey,June,2004,3902
Roger,October,2015,3798
Arnold,April,2016,7709
Manuel,April,2019,2894
Leslie,October,2003,1551
Hugh,October,2013,2646
Wilbur,September,2009,4183
Jose,September,2007,7250
Glen,January,2015,2251
Wallace,May,2017,5139
Jerry,May,2014,6933
Jerry,August,2015,7449
Leslie,July,2006,2575
Roland,April,2000,163
Jerry,April,2018,2702
Allen,November,2009,2629
Jerry,February,2006,1565
Roger,April,2012,639
Dale,August,2003,5412
Allen,April,2009,7654
Allen,October,2011,473
Edgar,March,2015,2865
Rudolph,January,2003,6999
Bobby,August,2018,3489
Bruce,April,2005,7945
Harvey,April,2009,2311
Victor,August,2012,4894
Jessie,October,2003,4629
Bobby,April,2016,3195
Edgar,August,2018,5716
Lee,September,2004,7448
Willard,March,2008,1609
Sam,August,2007,5370
Willard,September,2005,6024
Jerome,October,2001,6506
Bobby,March,2018,3339
Curtis,February,2009,5100
Harvey,November,2002,4476
Bobby,June,2005,6039
Oscar,July,2017,3111
Douglas,July,2001,7363
Victor,September,2011,510
Sam,March,2016,5921
Oscar,June,2007,1841
Johnnie,June,2009,5081
Curtis,November,2014,796
Roger,April,2006,6821
Sam,April,2003,516
Arnold,October,2018,6688
Cecil,January,2002,504
Allen,June,2003,4068
Charlie,February,2018,6971
Benjamin,February,2001,3283
Glen,August,2008,2012
Jerome,October,2020,728
Sam,November,2019,6120
Chester,October,2010,6665
Maurice,March,2001,3438
Jerry,February,2017,2579
Wilbur,August,2016,1083
Cecil,March,2013,865
Douglas,April,2009,3348
Edgar,September,2000,7371
Marion,March,2019,6808
Charlie,March,2008,7780
Jesse,July,2009,5974
Lewis,February,2013,715
Wilbur,April,2003,7924
Bobby,March,2005,589
Johnnie,October,2004,7033
Roland,March,2019,6502
Jerry,May,2004,4232
Jimmie,August,2018,6371
Cecil,August,2016,1495
Wallace,February,2018,4701
Edgar,November,2006,2259
Jerry,February,2008,5567
Wilbur,February,2013,2214
Claude,October,2007,4259
Jerry,January,2004,4500
Charlie,September,2007,1017
Leslie,November,2007,4554
Edgar,February,2013,273
Edgar,May,2013,4824
Gene,May,2008,3780
Claude,January,2018,3802
Jesse,February,2017,3655
Victor,September,2004,4801
Gilbert,March,2004,6591
Jessie,January,2004,3561
Jesse,November,2011,5485
Oscar,April,2007,589
Maurice,April,2004,4041
Bob,February,2007,7008
Gene,November,2009,5986
Lee,November,2007,187
Roland,April,2009,7109
Homer,February,2016,6737
Dale,March,2018,6748
Everett,September,2017,1998
Roger,November,2012,7145
Jose,November,2010,4023
Glen,February,2020,7458
Marion,August,2016,1787
Sam,October,2008,5201
Manuel,May,2012,6662
Cecil,September,2004,2095
Rudolph,January,2014,7922
Virgil,January,2018,6562
Harvey,May,2014,4787
Roland,November,2014,2652
Curtis,October,2002,2088
Roland,June,2017,3576
Rudolph,June,2012,4071
Junior,May,2008,3104
Jose,September,2010,6176
Marion,July,2014,2765
Gene,August,2003,6186
Lee,February,2019,3012
Johnnie,March,2002,5461
Everett,February,2004,6335
Lee,May,2012,6121
Glen,March,2015,380
Bobby,March,2006,1213
Allen,February,2002,3434
Jessie,January,2010,1328
Roland,March,2003,6012
Charlie,April,2011,3997
Leslie,April,2015,1511
Marion,February,2018,4947
Cecil,June,2020,5650
Don,February,2017,5312
Martin,November,2008,5661
Cecil,September,2016,5411
Leslie,October,2008,5706
Ronald,March,2017,7585
Everett,January,2007,3967
Bruce,March,2012,6421
Harvey,February,2014,4097
Charlie,March,2020,3440
Milton,September,2014,4114
Lewis,March,2001,2577
Jerome,September,2004,7535
Leslie,April,2008,6086
Willard,September,2006,3028
Ronald,October,2014,5396
Jose,November,2005,3015
Bob,February,2010,5554
Jerry,February,2000,5924
Willard,January,2010,1082
Chester,May,2001,6668
Sam,October,2004,3561
Jimmie,July,2005,2545
Wilbur,April,2015,2519
Jerry,October,2007,6991
Ronald,April,2005,2575
Gene,June,2006,6682
Jessie,March,2010,3994
Dale,October,2000,3860
Curtis,October,2020,7455
Hugh,November,2017,7410
Oscar,February,2020,2255
Gene,April,2014,4290
Cecil,June,2017,3295
Bobby,November,2012,6019
Willard,August,2006,7120
Eddie,July,2003,3490
Allen,March,2020,4076
Chester,August,2013,4854
Homer,February,2004,6502
Curtis,July,2016,6946
Johnnie,July,2012,7558
Allen,January,2011,250
Chester,February,2006,3813
Benjamin,November,2010,403
Glen,January,2013,4582
Douglas,October,2018,175
Lewis,September,2012,4303
Lee,March,2014,2526
Arnold,February,2007,7191
Bob,October,2001,2342
Victor,November,2015,5056
Bob,November,2000,1028
Oscar,September,2001,5318
Don,March,2004,3481
Roland,August,2004,4423
Gene,April,2018,980
Chester,November,2011,3335
Curtis,May,2011,1483
Jerome,February,2005,7580
Bruce,January,2020,1677
Douglas,May,2013,7435
Edgar,April,2010,1582
Glen,September,2011,7792
Chester,July,2012,601
Martin,May,2011,4350
Jessie,August,2017,1474
Everett,June,2009,5762
Don,January,2009,401
Arnold,October,2012,6728
Hugh,August,2008,5874
Jerry,January,2009,5275
Bob,August,2003,1332
Roland,April,2020,3663
Harvey,June,2013,4766
Maurice,June,2001,3290
Gene,September,2018,547
Harvey,March,2009,1627
Roland,July,2010,236
Manuel,July,2001,4250
Claude,July,2020,2675
Bob,May,2003,5501
Charlie,July,2012,2166
Curtis,January,2012,5148
Martin,May,2016,2831
Lewis,November,2007,6720
Lee,September,2015,4909
Hugh,February,2000,3089
Bobby,March,2001,5924
Jesse,May,2006,7389
Homer,September,2020,5319
Charlie,July,2007,4932
Jesse,October,2005,5060
Charlie,April,2009,6660
Hugh,November,2004,459
Sam,May,2006,6864
Curtis,May,2020,6492
Johnnie,July,2010,1025
Jesse,June,2001,3433
Rudolph,November,2004,525
Jimmie,May,2013,7308
Virgil,April,2000,6539
Martin,February,2001,1183
Homer,February,2019,6438
Wallace,February,2020,1658
Jose,April,2019,1378
Milton,October,2000,5750
Maurice,May,2017,7706
Junior,March,2001,4551
Roland,May,2015,6405
Jessie,April,2002,2591
Roger,January,2007,6444
Lewis,September,2005,7223
Edgar,January,2020,5356
Ronald,April,2018,1417
Arnold,November,2020,1288
Milton,July,2001,2835
Ronald,January,2006,7071
Milton,October,2015,1697
Arnold,January,2011,7885
Claude,April,2020,6159
Jessie,February,2002,6961
Manuel,January,2019,3324
Junior,June,2018,4612
Dale,May,2012,3677
Roger,May,2010,6773
Jesse,May,2014,7060
Milton,January,2000,5953
Jose,February,2007,446
Arnold,February,2005,4735
Lee,July,2015,6591
Curtis,October,2019,5072
Claude,August,2001,1768
Ronald,May,2019,3337
Cecil,August,2015,7244
Wallace,May,2013,4343
Don,October,2012,6717
Don,July,2002,5240
Glen,July,2006,6466
Manuel,April,2007,1738
Wallace,June,2013,5365
Virgil,January,2008,2027
Virgil,November,2007,1537
Jimmie,March,2002,3481
Edgar,June,2011,877
Everett,January,2005,6397
Bruce,May,2005,644
Lee,June,2007,4814
Benjamin,January,2018,4089
Ronald,August,2016,5543
Roland,November,2007,641
Eddie,September,2005,2832
Allen,March,2015,610
Jerome,January,2009,5381
Wilbur,June,2010,6312
Curtis,April,2016,5020
Oscar,October,2010,6954
Bob,September,2010,5443
Dale,February,2009,2847
Gilbert,September,2017,581
Don,February,2018,4337
Everett,September,2003,2927
Jerome,January,2019,3761
Wilbur,April,2001,6490
Bruce,February,2003,5226
Bobby,July,2006,2485
Glen,July,2013,2743
Homer,November,2006,1411
Bobby,November,2013,7284
Charlie,August,2006,7664
Junior,September,2020,2053
Charlie,October,2019,7906
Milton,April,2006,7358
Ronald,July,2013,1639
Lewis,July,2003,7292
Willard,October,2017,7832
Wallace,March,2008,2561
Don,March,2008,6906
Ronald,May,2013,2778
Hugh,January,2004,2865
Manuel,October,2018,7627
Lewis,May,2012,7121
Junior,November,2001,1889
Lee,October,2002,5028
Wilbur,June,2013,4278
Cecil,May,2002,5680
Sam,November,2016,416
Harvey,March,2001,1011
Wallace,February,2007,6764
Bob,February,2011,2016
Jerry,June,2013,6642
Manuel,July,2004,5630
Gene,June,2000,2023
Arnold,April,2011,5114
Dale,May,2000,3695
Eddie,September,2011,3157
Edgar,November,2010,678
Bob,November,2015,7307
Martin,September,2007,4913
Bruce,October,2014,4748
Glen,May,2013,6155
Roland,February,2016,3555
Wallace,January,2017,4543
Glen,June,2006,7300
Charlie,July,2000,2557
Manuel,January,2013,1533
Jessie,May,2008,2858
Claude,November,2020,3464
Don,April,2003,2867
Virgil,August,2004,5744
Martin,October,2002,5618
Douglas,February,2015,5729
Jerome,February,2006,2966
Don,September,2018,7133
Jose,April,2004,710
Wallace,June,2020,5008
Claude,July,2017,2053
Homer,July,2001,5947
Chester,June,2006,3422
Edgar,November,2020,6266
Everett,July,2007,3746
Sam,June,2020,1585
Harvey,October,2005,222
Marion,January,2019,2201
Dale,February,2007,2581
Manuel,March,2018,4346
Cecil,August,2002,2097
Douglas,September,2002,7219
Gilbert,September,2013,927
Sam,April,2011,5449
Wallace,October,2017,4522
Willard,March,2014,1642
Glen,January,2019,848
Virgil,October,2001,4571
Allen,November,2006,6824
Manuel,February,2015,6285
Dale,June,2008,3472
Jerry,November,2003,2194
Marion,May,2016,5909
Douglas,September,2013,2729
Hugh,February,2015,7759
Jimmie,June,2008,3974
Ronald,April,2003,234
Homer,January,2016,1822
Roger,August,2013,1219
Jessie,November,2018,7012
Harvey,August,2006,2487
Jesse,January,2002,3171
Marion,April,2009,4222
Jimmie,November,2000,4087
Manuel,January,2012,6768
Oscar,May,2019,2334
Junior,March,2017,1266
Wallace,January,2018,3358
Oscar,May,2008,779
Virgil,July,2011,5082
Leslie,October,2019,6900
Curtis,October,2002,5708
Bobby,April,2009,1188
Gilbert,February,2015,1717
Gilbert,March,2019,4982
Jessie,November,2004,6246
Dale,September,2018,3507
Bob,July,2000,3694
Virgil,August,2013,4360
Manuel,January,2006,5193
Bobby,February,2006,2576
Allen,October,2016,5154
Johnnie,June,2018,5692
Victor,August,2010,519
Benjamin,June,2010,3357
Bruce,September,2013,6917
Chester,November,2019,5657
Arnold,November,2014,4290
Bobby,July,2001,567
Maurice,March,2011,7897
Ronald,June,2014,5987
Charlie,October,2018,2602
Jose,August,2005,6325
Wilbur,November,2016,4534
Chester,August,2012,7328
Wilbur,November,2004,410
Rudolph,January,2006,4944
Homer,April,2020,2754
Willard,June,2008,7553
Marion,September,2013,386
Oscar,June,2004,2160
Gilbert,February,2016,5897
Charlie,November,2013,583
Jerome,September,2002,5421
Willard,July,2002,227
Wallace,July,2020,1015
Glen,August,2002,6443
Wilbur,July,2019,266
Homer,February,2010,322
Wallace,August,2017,580
Roger,March,2020,6137
Claude,May,2006,1525
Leslie,November,2016,1456
Oscar,January,2008,4623
Leslie,January,2019,4177
Edgar,August,2014,2059
Ronald,October,2012,1995
Maurice,November,2002,2193
Bob,June,2000,5538
Glen,May,2009,3180
Marion,May,2006,5542
Milton,March,2017,5936
Johnnie,June,2006,5297
Cecil,September,2017,5660
Jesse,November,2012,4076
Jerome,September,2020,4741
Oscar,November,2013,7097
Milton,October,2020,3125
Gilbert,March,2020,1781
Wallace,March,2014,6210
Bobby,May,2012,4492
Jerome,June,2002,2915
Roland,March,2005,7065
Jessie,October,2005,7422
Martin,November,2013,286
Roland,August,2013,7102
Marion,June,2020,6588
Manuel,March,2000,4433
Arnold,May,2000,5196
Jessie,January,2013,1138
Willard,January,2014,4940
Wallace,November,2012,1609
Johnnie,September,2014,7762
Homer,October,2015,1150
Homer,March,2003,6942
Allen,March,2019,2984
Jimmie,April,2007,1753
Jose,May,2003,5400
Bobby,September,2005,6948
Maurice,April,2010,1729
Douglas,September,2001,1181
Claude,July,2013,7798
Sam,March,2010,6633
Jessie,April,2011,5714
Gene,November,2013,3988
Rudolph,May,2006,2478
Chester,May,2005,7200
Oscar,September,2020,6554
Rudolph,February,2016,1117
Douglas,June,2015,4422
Johnnie,March,2020,263
Everett,June,2003,6677
Virgil,November,2004,3438
Claude,August,2000,5629
Bruce,February,2016,7835
Marion,April,2008,5513
Jesse,February,2011,233
Lee,September,2019,3349
Jose,January,2010,224
Leslie,July,2000,4984
Bruce,October,2010,6930
Maurice,February,2015,7789
Jerome,July,2008,2752
Oscar,August,2019,310
Edgar,August,2011,7065
Arnold,August,2018,2988
Milton,February,2006,875
Milton,January,2018,7820
Jerome,August,2011,4533
Virgil,July,2013,6565
Jose,February,2017,1556
Cecil,November,2014,5269
Rudolph,April,2014,5065
Wilbur,July,2003,1368
Victor,October,2001,3177
Everett,November,2014,1066
Claude,April,2008,7849
Arnold,October,2012,938
Maurice,February,2009,1113
Jesse,February,2016,4182
Edgar,February,2010,6380
Marion,July,2008,3614
Homer,February,2003,2380
Johnnie,January,2001,1212
Gilbert,October,2001,5950
Milton,January,2008,475
Homer,May,2002,5066
Chester,April,2001,3416
Junior,February,2005,2408
Jesse,July,2014,4759
Johnnie,June,2000,6411
Wilbur,October,2018,5400
Jose,June,2011,1570
Rudolph,July,2012,3894
Eddie,February,2018,1347
Jessie,May,2007,5962
Arnold,February,2000,3065
Bob,October,2013,4447
Bob,February,2014,2145
Milton,November,2020,4431
Don,November,2001,246
Jessie,June,2004,4509
Bob,September,2013,3235
Junior,June,2020,5761
Chester,August,2008,3438
Douglas,June,2020,1976
Sam,June,2006,5226
Virgil,January,2010,188
Martin,June,2014,2237
Marion,September,2016,7325
Martin,July,2006,6606
Martin,February,2011,3173
Eddie,May,2016,6409
Marion,April,2012,4105
Glen,September,2000,4040
Bob,October,2013,731
Marion,October,2017,3419
Chester,November,2005,5904
Maurice,August,2017,4756
Curtis,October,2009,5928
Junior,August,2014,6404
Don,September,2008,4820
Sam,August,2005,7054
Roland,August,2003,6738
Manuel,November,2001,5768
Jerome,October,2015,7666
Bobby,June,2007,6071
Cecil,August,2006,6640
Sam,September,2000,1441
Marion,November,2018,1832
Everett,May,2011,7140
Don,April,2003,2943
Gene,March,2004,2696
Curtis,March,2001,1614
Virgil,October,2018,7020
Claude,January,2005,1405
Gilbert,March,2008,5519
Virgil,February,2019,6169
Ronald,April,2009,6514
Claude,September,2018,3673
Maurice,February,2017,6784
Glen,September,2008,5438
Jimmie,September,2006,4674
Don,February,2003,3140
Bobby,April,2020,6173
Jerry,September,2001,3251
Leslie,September,2009,5965
Dale,May,2010,5608
Edgar,January,2000,6747
Eddie,February,2020,636
Hugh,March,2018,7014
Victor,January,2009,5076
Lewis,August,2004,3195
Jerome,March,2018,6327
Maurice,March,2019,675
Cecil,January,2013,7629
Victor,January,2002,5962
Gene,February,2012,1590
Lee,April,2004,225
Everett,January,2009,1684
Charlie,February,2019,3014
Bruce,September,2016,2236
Hugh,May,2018,3206
Maurice,October,2006,7704
Willard,November,2012,4931
Bob,February,2002,2238
Bob,March,2010,3568
Glen,April,2008,5416
Maurice,April,2003,6367
Roland,June,2017,2031
Dale,May,2003,3330
Gilbert,February,2011,5562
Bruce,January,2017,7551
Bob,May,2008,1022
Edgar,September,2014,3810
Chester,January,2001,3731
Cecil,February,2010,3623
Victor,November,2016,2794
Benjamin,January,2003,6786
Marion,March,2004,5364
Hugh,November,2016,3649
Edgar,March,2013,5517
Roger,June,2007,2484
Oscar,July,2016,3876
Bobby,May,2015,7914
Cecil,October,2015,3332
Roland,October,2006,7116
Virgil,August,2000,5066
Oscar,September,2019,4006
Roger,June,2020,619
Bruce,February,2012,5603
Charlie,April,2017,3637
Martin,October,2000,4398
Marion,November,2015,1330
Douglas,February,2003,5688
Virgil,September,2007,4381
Jose,July,2004,6094
Jimmie,April,2007,6531
Hugh,September,2020,7029
Douglas,May,2007,7119
Curtis,November,2002,6405
Charlie,April,2004,2953
Maurice,January,2006,7160
Roland,June,2012,493
Jerry,September,2008,3610
Dale,January,2012,7715
Cecil,November,2006,5065
Charlie,August,2006,4234
Everett,October,2014,3051
Hugh,May,2004,1662
Wilbur,August,2013,4239
Gene,January,2018,4948
Arnold,September,2016,7591
Rudolph,January,2001,6790
Milton,April,2011,1926
Willard,October,2005,4655
Hugh,February,2016,3693
Don,July,2000,5726
Leslie,September,2003,4935
Sam,April,2002,7099
Curtis,February,2010,1096
Cecil,November,2006,763
Victor,October,2014,3304
Rudolph,November,2010,4067
Gene,August,2016,694
Jose,January,2010,1708
Milton,January,2005,1690
Jerome,May,2016,6052
Victor,October,2005,5011
Cecil,September,2002,1535
Lee,February,2013,5737
Allen,July,2000,2419
Manuel,May,2012,4989
Jerome,May,2001,4405
Harvey,September,2014,7546
Manuel,March,2001,5775
Lewis,February,2000,3578
Jesse,October,2006,992
Gilbert,June,2010,890
Roger,August,2011,190
Jose,June,2009,868
Martin,April,2001,4277
Jimmie,June,2019,7642
Oscar,February,2005,1122
Jerome,November,2010,223
Junior,August,2011,166
Arnold,September,2009,2115
Leslie,July,2005,6492
Jesse,August,2009,1475
Martin,July,2013,6267
Rudolph,September,2018,4502
Douglas,August,2010,2035
Victor,February,2016,6105
Roger,August,2000,3936
Roland,January,2018,3021
Rudolph,March,2015,1113
Johnnie,September,2015,6200
Wallace,March,2017,3865
Benjamin,April,2015,2354
Eddie,April,2013,3583
Edgar,June,2001,7332
Bruce,January,2018,1762
Jesse,May,2009,802
Victor,June,2018,3633
Oscar,February,2001,3206
Don,November,2020,7471
Bob,February,2013,4249
Douglas,May,2000,7306
Manuel,November,2010,527
Allen,July,2011,4269
Gilbert,September,2006,4220
Homer,November,2009,4778
Claude,June,2002,268
Roland,October,2019,4676
Homer,June,2016,7310
Everett,May,2001,2361
Benjamin,June,2020,3941
Jesse,June,2003,5918
Rudolph,January,2010,6561
Charlie,November,2011,2631
Wilbur,April,2006,6936
Jose,February,2008,6809
Manuel,July,2010,1541
Chester,May,2012,2020
Douglas,October,2005,7414
Johnnie,October,2001,5533
Bobby,October,2018,985
Glen,February,2002,2212
Roger,July,2009,1110
Wallace,September,2009,5602
Johnnie,September,2009,3314
Ronald,June,2007,4221
Ronald,September,2015,4168
Manuel,October,2015,7997
Homer,April,2010,662
Oscar,June,2012,6020
Dale,August,2017,1957
Sam,February,2019,6479
Gilbert,September,2013,7050
Hugh,November,2012,5243
Virgil,September,2001,3404
Jimmie,September,2016,4574
Victor,June,2004,6902
Milton,July,2008,3063
Lewis,May,2005,1450
Junior,June,2000,7190
Arnold,October,2020,6592
Virgil,March,2014,5384
Manuel,April,2011,6798
Oscar,January,2016,152
Don,August,2002,5567
Milton,February,2009,4479
Milton,February,2019,4442
Chester,May,2006,1906
Hugh,September,2007,1498
Bruce,August,2017,3743
Rudolph,November,2002,3110
Claude,August,2003,4028
Allen,November,2006,360
Jose,November,2000,3691
Roger,October,2012,7424
Maurice,February,2018,2636
Gene,March,2010,6939
Arnold,January,2020,6329
Lewis,September,2010,3478
Bob,September,2005,4361
Jerome,March,2005,3032
Bruce,August,2012,4238
Glen,May,2011,410
Arnold,August,2015,5091
Douglas,January,2019,788
Chester,November,2000,2842
Edgar,April,2006,7634
Douglas,February,2009,6052
Curtis,May,2001,4983
Lee,August,2013,7599
Oscar,September,2012,7419
Hugh,August,2014,713
Homer,April,2015,1805
Rudolph,November,2020,5474
Rudolph,November,2014,3437
Lewis,August,2003,6258
Jerome,February,2008,5254
Homer,March,2013,2879
Maurice,March,2017,3383
Eddie,April,2017,6633
Bob,April,2018,3022
Douglas,July,2019,3305
Junior,March,2012,4344
Jose,October,2001,4395
Ronald,February,2003,1878
Gene,August,2006,6412
Willard,March,2013,230
Wilbur,July,2010,852
Willard,May,2015,4923
Jose,June,2010,6548
Victor,August,2013,3417
Lee,October,2005,4939
Allen,March,2019,495
Marion,May,2001,3625
Don,September,2000,1744
Milton,July,2014,3006
Victor,January,2002,6399
Leslie,January,2019,4093
Jimmie,March,2005,338
Don,August,2019,7938
Wallace,November,2004,7584
Johnnie,May,2010,5023
Victor,March,2018,644
Milton,June,2010,4283
Arnold,June,2020,1430
Wilbur,September,2016,2467
Maurice,October,2000,2375
Rudolph,April,2016,541
Bob,August,2009,7229
Claude,September,2006,6177
Lewis,November,2015,4480
Gilbert,February,2018,4616
Edgar,June,2015,3484
Rudolph,August,2014,6247
Virgil,February,2005,3036
Harvey,September,2012,4746
Sam,September,2018,6929
Lee,October,2006,2887
Jesse,April,2020,4030
Don,June,2009,5360
Milton,June,2003,1956
Douglas,October,2012,5209
Maurice,May,2016,4379
Manuel,August,2005,5328
Jerry,February,2020,4625
Jerome,April,2009,5924
Wallace,November,2000,6758
Ronald,October,2002,2220
Benjamin,April,2020,4079
Glen,February,2008,1321
Everett,July,2002,4027
Don,September,2011,3464
Johnnie,August,2000,1470
Jerry,November,2020,7538
Don,November,2007,5338
Harvey,September,2002,6723
Lee,September,2004,3875
Edgar,November,2016,2619
Cecil,October,2020,3443
Roland,November,2011,5696
Bobby,August,2020,7408
Gilbert,June,2019,6382
Bruce,January,2009,3716
Jesse,April,2004,2417
Gene,November,2020,694
Chester,August,2010,1161
Cecil,July,2004,6214
Hugh,May,2007,7682
Glen,October,2018,3883
Lee,May,2011,3958
Marion,July,2006,2007
Maurice,June,2010,1950
Harvey,March,2010,5787
Marion,July,2019,5870
Gene,April,2005,7920
Roland,May,2015,587
Lee,August,2012,2599
Everett,April,2000,2012
Edgar,March,2004,3647
Benjamin,May,2017,2431
Claude,April,2013,5122
Milton,September,2015,3143
Homer,September,2000,4038
Oscar,October,2015,592
Gene,October,2010,509
Dale,June,2007,2556
Bob,January,2002,5182
Milton,June,2010,793
Bobby,September,2010,3723
Allen,January,2001,1370
Sam,March,2014,2936
Jimmie,August,2016,2791
Oscar,April,2018,6954
Virgil,February,2018,1489
Dale,May,2003,3173
Manuel,April,2001,2115
Wallace,November,2006,7431
Curtis,March,2005,6420
Chester,June,2008,1465
Lewis,November,2018,4935
Chester,January,2001,952
Maurice,January,2013,881
Lewis,July,2015,3171
Roland,October,2006,7809
Homer,May,2004,3863
Victor,April,2007,5890
Maurice,February,2002,2488
Harvey,October,2018,4206
Dale,May,2001,2625
